Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29305-62515,TE,Neal,Neal Sterling,Sterling,2.166666667,3,4000,NYJ@CHI,NYJ,CHI,,,
29305-30787,TE,Alex,Alex Ellis,Ellis,0,0,4000,DEN@KC,KC,DEN,IR,Undisclosed,
29305-62534,TE,Brian,Brian Parker,Parker,0,2,4000,DEN@KC,DEN,KC,,,
29305-46177,TE,David,David Wells,Wells,0,0,4000,DEN@KC,KC,DEN,,,
29305-29805,TE,Ryan,Ryan Hewitt,Hewitt,0,1,4000,IND@OAK,IND,OAK,,,
29305-28807,TE,Gabe,Gabe Holmes,Holmes,0,1,4000,SF@ARI,ARI,SF,,,
29305-62633,TE,Matt,Matt Lengel,Lengel,0,1,4000,TB@CIN,CIN,TB,,,
29305-83117,TE,Tanner,Tanner Hudson,Hudson,0,0,4000,TB@CIN,TB,CIN,,,
29305-32957,TE,Eric,Eric Tomlinson,Tomlinson,1.7,5,4000,NYJ@CHI,NYJ,CHI,,,
29305-83138,TE,Ross,Ross Dwelley,Dwelley,0,0,4000,SF@ARI,SF,ARI,,,
29305-57556,TE,Jerome,Jerome Cunningham,Cunningham,0,0,4000,SEA@DET,DET,SEA,,,
29305-12538,D,Los Angeles,Los Angeles Rams,Rams,11.14285714,7,4000,GB@LAR,LAR,GB,,,
29305-41210,TE,Matt,Matt Flanagan,Flanagan,0,0,4000,WAS@NYG,WAS,NYG,,,
29305-62718,TE,Daniel,Daniel Brown,Brown,2.424999952,8,4000,NYJ@CHI,CHI,NYJ,,,
29305-83202,TE,Christian,Christian Scotland-Williamson,Scotland-Williamson,0,0,4000,CLE@PIT,PIT,CLE,,,
29305-12550,D,Seattle,Seattle Seahawks,Seahawks,9,6,4000,SEA@DET,SEA,DET,,,
29305-27918,TE,Henry,Henry Krieger-Coble,Krieger-Coble,0,0,4000,GB@LAR,LAR,GB,,,
29305-83253,TE,Paul,Paul Butler,Butler,0,0,4000,IND@OAK,OAK,IND,,,
29305-25957,TE,J.P.,J.P. Holtz,Holtz,0,0,4000,WAS@NYG,WAS,NYG,,,
29305-22920,TE,Derek,Derek Carrier,Carrier,1.333333333,3,4000,IND@OAK,OAK,IND,,,
29305-25011,TE,Darren,Darren Waller,Waller,0,0,4000,BAL@CAR,BAL,CAR,,,
